id,title,handle,body_html,published_at,created_at,updated_at,vendor,product_type,tags
8730611024040,Colombia Finca Monteblanco Citric Co-ferment Nº 272,colombia-finca-monteblanco-citric-co-ferment-n-272,"Experimental producers like Rodrigo Sanchez are able to transform coffee into new realms of flavour.By co-fermenting with citrus fruit in a controlled environment, the aromatics become dominant, and take on some qualities of the citrus character. Lots of bright floral notes, intense sweetness and herbal qualities.",2024-12-11T06:30:04+00:00,2024-12-04T09:24:06+00:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Single Origin,"cafetiere, Citrus & Floral, Citrus Fruit, Distinction, Filter, Floral, Fruity, Light, natural, Rare, Roast 1, Single Origin, South America, sticker-New Release, sticker-Rare, swatch_colombia, Taste Pomelo Lemongrass Crystallised-Ginger"
2165719236662,Colombia El Carmen DECAF Green Coffee Beans,colombia-el-carmen-decaf-green-coffee-beans,"500g - Unroasted coffee beans suitable for home roastingOur best selling single origin and our flagship sustainability project now as Decaf green beans!!#Colombia not ColumbiaPlease note: Never attempt to grind, green un-roasted beans.",2024-12-05T10:16:07+00:00,2019-06-13T10:30:27+01:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Green Coffee,"Green Coffee, hidden, info delivery, info dispatch, info packaging, info roast, South America, swatch_colombia, Taste Chocolate Vanilla Red-fruits"
7156157120680,Decaf Lover Coffee Bundle,decaf-lover-coffee-bundle,"A great way to try both our swiss water & sugarcane decaf coffees - both delicious and suited to all brew methods - meaning you can drink coffee all day.1 x 250g El Carmen Sugarcane Decaf No.77 - Medium/Dark Roast(Chocolate | Vanilla | Red Fruits)1 x 250g of Swiss Water Decaf Blend No.11 - Medium Roast(Chocolate | Spice | Malt)Disclaimer- Contents subject to change.  We vary the coffees on offer due to seasonal availability and new crop arrivals.Mycotoxin In CoffeeWe sent a sample of our Colombia El Carmen Sugarcane Decaf coffee away for Mycotoxin testing and it came back with a result of less than0.1 parts per billionof all tested toxins. This is great news, but technically relates to the specific batch and specific green lot that we sent away. We'll be testing again soon and will publish those results here.",2024-12-05T10:15:20+00:00,2021-10-21T13:58:31+01:00,2024-12-11T13:51:02+00:00,Ravecoffee,Taster pack,"Aeropress, Cafe Retail, cafetiere, Chocolate, Chocolate & Caramel, Dark, decaf, Espresso, Filter, Fruity, info delivery, info dispatch, info packaging, info roast, Medium, Nuts, Nuts & Spice, Online Out of Stock, Spice"
214272311322,Colombia El Carmen Sugarcane Decaf Nº 77,colombia-el-carmen-sugarcane-decaf-no-77,"Our Colombian El Carmen Sugar Cane Decaf retains sweetness and the original character of the beans. Due to being processed at origin it also reduces the carbon footprint over other decaffeination processes. This coffee is also part of our flagship sustainability program. The Sugar Cane process removes 99.9% of the caffeine without chemicals.Mycotoxin In CoffeeWe sent a sample of our Colombia El Carmen Sugarcane Decaf coffee away for Mycotoxin testing and it came back with a result of less than0.1 parts per billionof all tested toxins. This is great news, but technically relates to the specific batch and specific green lot that we sent away. We'll be testing again soon and will publish those results here.",2024-12-05T10:13:03+00:00,2017-12-05T10:30:36+00:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Single Origin,"Cafe Retail, cafetiere, Chocolate & Caramel, Dark, decaf, Espresso, Filter, info delivery, info dispatch, info packaging, info roast, Medium, Nuts & Spice, Roast 4, Single Origin, South America, swatch_colombia, Taste Chocolate Vanilla Red-fruits, washed"
8723796951208,Colombia Finca Monteblanco Cold Wash Nº 271,colombia-finca-monteblanco-cold-wash-n-271,"Experimental producers like Rodrigo Sanchez are able to transform coffee into new realms of flavour.By cold fermenting the coffee in a controlled environment, the aromatics become dominant, and the taste profile is unlike any traditional notions of coffee as we know it.",2024-12-04T13:00:02+00:00,2024-11-28T11:45:19+00:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Single Origin,"cafetiere, Citrus & Floral, Citrus Fruit, Distinction, Filter, Floral, Fruity, Light, Rare, Roast 1, Single Origin, South America, sticker-New Release, sticker-Rare, swatch_colombia, Taste Nectarine Honeysuckle Pink-Lemonade, washed"
8723846758568,Lupine Airscape Coffee Storage Container,lupine-airscape-coffee-storage-container,"About Lupine Airscape Coffee Storage ContainerAirscape® technology features a patented plunger lid designed to fit snugly against the inside of the canister. As the Airscape® lid is pressed down, the oxygen is forced out through a two-way valve. Once the plunger is directly above the contents, flip the handle down to prevent further oxygen exchange & dramatically increase the shelf life of your coffee.Small holds 250g Coffee | Height 10.5cm x Diameter 13cmMedium holds 500g Coffee | Height 18cm x Diameter 13cm",2024-12-04T11:56:25+00:00,2024-11-28T13:06:59+00:00,2024-12-11T13:51:02+00:00,Planetary Design,Airscape,
8709680300200,Tanzania Korongo Nº 263,tanzania-korongo-n-263,"Korongo, meaning flamingo in Swahili, is our latest offering from Tanzania. It’s a showcase of 84+ scoring coffees from regions in the Tanzanian Southern Highlands.Korongo stood out to us by displaying a clean vibrant acidity alongside a pleasant sweetness and body/mouthfeel. It’s an excellent display of Tanzania’s increasing prominence in the specialty market!",2024-12-04T09:13:07+00:00,2024-11-18T12:15:48+00:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Single Origin,"Africa, cafetiere, Citrus & Floral, Dark, Espresso, Filter, Fruity, info roast, Roast 5, Single Origin, sticker-New Release, swatch_tanzania, Taste Prune Black-Tea Treacle"
8709601558696,Guatemala Nueva Era Nº 265,guatemala-nueva-era-n-265,"Meet Nueva Era, a standout coffee from Finca Toloche in Guatemala’s oldest coffee-growing region, Fraijanes. The potassium-rich soils here give the coffee its full body and unique character.Naturally processed, it’s fruit-forward but beautifully balanced. If you’re new to natural coffees, this is a great one to start with—packed with flavour and easy to enjoy.",2024-12-02T16:16:41+00:00,2024-11-18T11:04:54+00:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Single Origin,"cafetiere, Central America, Citrus & Floral, Citrus Fruit, Espresso, Filter, Floral, Fruity, Medium, natural, new arrivals, Roast 3, Single Origin, sticker-New Release, swatch_guatemala, Taste Blackberry Hibiscus Cocoa"
8709614600360,China Banka Nº 277,china-banka-n-277,"Chinese speciality coffee is a market that continues to grow year on year. This year we selected the Banka coffee using the natural process (we have purchased the washed process in previous years), for its well balanced sweetness and easy drinking.",2024-11-27T07:28:13+00:00,2024-11-18T11:19:32+00:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Single Origin,"Asia Pacific, cafetiere, Citrus & Floral, Filter, Fruity, Medium, natural, new arrivals, Roast 3, Single Origin, sticker-New Release, swatch_china, Taste Redcurrant Black-Tea Praline"
8709586059432,Colombia Danilo Perez Nº 270,colombia-danilo-perez-n-270,"An exceptional pink bourbon coffee from Danilo Perez and his family farm in Huila, Colombia. The complexity of this coffee is second to none! Lots of juicy, sweet fruit notes, floral bergamot, honey and a black tea like finish.",2024-11-26T14:49:42+00:00,2024-11-18T10:47:06+00:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Single Origin,"cafetiere, Citrus & Floral, Citrus Fruit, Distinction, Filter, Floral, Fruity, Light, Rare, Roast 1, Single Origin, South America, sticker-New Release, sticker-Rare, swatch_colombia, Taste Cherry-Jam Cranberry Earl-Grey-Tea, washed"
